DBA,BORO,BUILDING,STREET,ZIPCODE,address,"INSPECTION DATE","VIOLATION CODE","VIOLATION DESCRIPTION","CRITICAL FLAG",SCORE,GRADE,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"CLEMENTINE BAKERY",BROOKLYN,395,"CLASSON AVE",11238,"395 CLASSON AVE",10/05/17,02G,"Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.",Critical,44,,40.687558,-73.959604,1,rooftop,395,"Classon Ave",Brooklyn,NY,"Kings County",11238,US,"City of New York"
"CLEMENTINE BAKERY",BROOKLYN,395,"CLASSON AVE",11238,"395 CLASSON AVE",10/05/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",44,,40.687558,-73.959604,1,rooftop,395,"Classon Ave",Brooklyn,NY,"Kings County",11238,US,"City of New York"
"CLEMENTINE BAKERY",BROOKLYN,395,"CLASSON AVE",11238,"395 CLASSON AVE",10/05/17,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,44,,40.687558,-73.959604,1,rooftop,395,"Classon Ave",Brooklyn,NY,"Kings County",11238,US,"City of New York"
"CLEMENTINE BAKERY",BROOKLYN,395,"CLASSON AVE",11238,"395 CLASSON AVE",10/05/17,02I,"Food prepared from ingredients at ambient temperature not cooled to 41Ã‚Âº F or below within 4 hours.",Critical,44,,40.687558,-73.959604,1,rooftop,395,"Classon Ave",Brooklyn,NY,"Kings County",11238,US,"City of New York"
"DUNKIN' DONUTS",BROOKLYN,182,"BEDFORD AVE",11249,"182 BEDFORD AVE",09/28/17,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,45,,40.717816,-73.957914,1,rooftop,182,"Bedford Ave",Brooklyn,NY,"Kings County",11249,US,"City of New York"
"DUNKIN' DONUTS",BROOKLYN,182,"BEDFORD AVE",11249,"182 BEDFORD AVE",09/28/17,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Critical,45,,40.717816,-73.957914,1,rooftop,182,"Bedford Ave",Brooklyn,NY,"Kings County",11249,US,"City of New York"
"DUNKIN' DONUTS",BROOKLYN,182,"BEDFORD AVE",11249,"182 BEDFORD AVE",09/28/17,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,45,,40.717816,-73.957914,1,rooftop,182,"Bedford Ave",Brooklyn,NY,"Kings County",11249,US,"City of New York"
"DUNKIN' DONUTS",BROOKLYN,182,"BEDFORD AVE",11249,"182 BEDFORD AVE",09/28/17,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,45,,40.717816,-73.957914,1,rooftop,182,"Bedford Ave",Brooklyn,NY,"Kings County",11249,US,"City of New York"
"DUNKIN' DONUTS",BROOKLYN,182,"BEDFORD AVE",11249,"182 BEDFORD AVE",09/28/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",45,,40.717816,-73.957914,1,rooftop,182,"Bedford Ave",Brooklyn,NY,"Kings County",11249,US,"City of New York"
MATTER,BROOKLYN,7604,"3RD AVE",11209,"7604 3RD AVE",08/07/17,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,46,,40.630636,-74.028293,1,rooftop,7604,"3rd Ave",Brooklyn,NY,"Kings County",11209,US,"City of New York"
"FUN CAFE",BROOKLYN,2439,"86TH ST STORE D",11214,"2439 86TH ST STORE D",03/30/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,46,,40.598745,-73.988052,1,rooftop,2439,"86th St",Brooklyn,NY,"Kings County",11214,US,"City of New York"
MATTER,BROOKLYN,7604,"3RD AVE",11209,"7604 3RD AVE",08/07/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",46,,40.630636,-74.028293,1,rooftop,7604,"3rd Ave",Brooklyn,NY,"Kings County",11209,US,"City of New York"
MATTER,BROOKLYN,7604,"3RD AVE",11209,"7604 3RD AVE",08/07/17,05D,"Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.",Critical,46,,40.630636,-74.028293,1,rooftop,7604,"3rd Ave",Brooklyn,NY,"Kings County",11209,US,"City of New York"
"FUN CAFE",BROOKLYN,2439,"86TH ST STORE D",11214,"2439 86TH ST STORE D",03/30/17,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,46,,40.598745,-73.988052,1,rooftop,2439,"86th St",Brooklyn,NY,"Kings County",11214,US,"City of New York"
"FUN CAFE",BROOKLYN,2439,"86TH ST STORE D",11214,"2439 86TH ST STORE D",03/30/17,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Critical,46,,40.598745,-73.988052,1,rooftop,2439,"86th St",Brooklyn,NY,"Kings County",11214,US,"City of New York"
"FUN CAFE",BROOKLYN,2439,"86TH ST STORE D",11214,"2439 86TH ST STORE D",03/30/17,10H,"Proper sanitization not provided for utensil ware washing operation.","Not Critical",46,,40.598745,-73.988052,1,rooftop,2439,"86th St",Brooklyn,NY,"Kings County",11214,US,"City of New York"
MATTER,BROOKLYN,7604,"3RD AVE",11209,"7604 3RD AVE",08/07/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,46,,40.630636,-74.028293,1,rooftop,7604,"3rd Ave",Brooklyn,NY,"Kings County",11209,US,"City of New York"
"19 CAFE",BROOKLYN,84,"MANHATTAN AVE",11206,"84 MANHATTAN AVE",07/11/17,06A,"Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",Critical,51,,40.70515,-73.944425,1,rooftop,84,"Manhattan Ave",Brooklyn,NY,"Kings County",11206,US,"City of New York"
"THE BUSHWICK DINER",BROOKLYN,299,"WYCKOFF AVE",11237,"299 WYCKOFF AVE",03/23/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,51,,40.700509,-73.912605,1,rooftop,299,"Wyckoff Ave",Brooklyn,NY,"Kings County",11237,US,"City of New York"
"THE BUSHWICK DINER",BROOKLYN,299,"WYCKOFF AVE",11237,"299 WYCKOFF AVE",03/23/17,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,51,,40.700509,-73.912605,1,rooftop,299,"Wyckoff Ave",Brooklyn,NY,"Kings County",11237,US,"City of New York"
"19 CAFE",BROOKLYN,84,"MANHATTAN AVE",11206,"84 MANHATTAN AVE",07/11/17,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Critical,51,,40.70515,-73.944425,1,rooftop,84,"Manhattan Ave",Brooklyn,NY,"Kings County",11206,US,"City of New York"
"THE BUSHWICK DINER",BROOKLYN,299,"WYCKOFF AVE",11237,"299 WYCKOFF AVE",03/23/17,05E,"Toilet facility not provided for employees or for patrons when required.",Critical,51,,40.700509,-73.912605,1,rooftop,299,"Wyckoff Ave",Brooklyn,NY,"Kings County",11237,US,"City of New York"
"19 CAFE",BROOKLYN,84,"MANHATTAN AVE",11206,"84 MANHATTAN AVE",07/11/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",51,,40.70515,-73.944425,1,rooftop,84,"Manhattan Ave",Brooklyn,NY,"Kings County",11206,US,"City of New York"
"THE BUSHWICK DINER",BROOKLYN,299,"WYCKOFF AVE",11237,"299 WYCKOFF AVE",03/23/17,02G,"Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.",Critical,51,,40.700509,-73.912605,1,rooftop,299,"Wyckoff Ave",Brooklyn,NY,"Kings County",11237,US,"City of New York"
"19 CAFE",BROOKLYN,84,"MANHATTAN AVE",11206,"84 MANHATTAN AVE",07/11/17,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,51,,40.70515,-73.944425,1,rooftop,84,"Manhattan Ave",Brooklyn,NY,"Kings County",11206,US,"City of New York"
"19 CAFE",BROOKLYN,84,"MANHATTAN AVE",11206,"84 MANHATTAN AVE",07/11/17,04C,"Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.",Critical,51,,40.70515,-73.944425,1,rooftop,84,"Manhattan Ave",Brooklyn,NY,"Kings County",11206,US,"City of New York"
"THE BUSHWICK DINER",BROOKLYN,299,"WYCKOFF AVE",11237,"299 WYCKOFF AVE",03/23/17,10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",51,,40.700509,-73.912605,1,rooftop,299,"Wyckoff Ave",Brooklyn,NY,"Kings County",11237,US,"City of New York"
"EFES CAFE BAKERY",BROOKLYN,601,"BRIGHTON BEACH AVE",11235,"601 BRIGHTON BEACH AVE",08/31/17,06F,"Wiping cloths soiled or not stored in sanitizing solution.",Critical,53,,40.577783,-73.961421,1,rooftop,601,"Brighton Beach Ave",Brooklyn,NY,"Kings County",11235,US,"City of New York"
"EFES CAFE BAKERY",BROOKLYN,601,"BRIGHTON BEACH AVE",11235,"601 BRIGHTON BEACH AVE",08/31/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,53,,40.577783,-73.961421,1,rooftop,601,"Brighton Beach Ave",Brooklyn,NY,"Kings County",11235,US,"City of New York"
"EFES CAFE BAKERY",BROOKLYN,601,"BRIGHTON BEACH AVE",11235,"601 BRIGHTON BEACH AVE",08/31/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",53,,40.577783,-73.961421,1,rooftop,601,"Brighton Beach Ave",Brooklyn,NY,"Kings County",11235,US,"City of New York"
"EFES CAFE BAKERY",BROOKLYN,601,"BRIGHTON BEACH AVE",11235,"601 BRIGHTON BEACH AVE",08/31/17,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,53,,40.577783,-73.961421,1,rooftop,601,"Brighton Beach Ave",Brooklyn,NY,"Kings County",11235,US,"City of New York"
"EFES CAFE BAKERY",BROOKLYN,601,"BRIGHTON BEACH AVE",11235,"601 BRIGHTON BEACH AVE",08/31/17,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,53,,40.577783,-73.961421,1,rooftop,601,"Brighton Beach Ave",Brooklyn,NY,"Kings County",11235,US,"City of New York"
"EFES CAFE BAKERY",BROOKLYN,601,"BRIGHTON BEACH AVE",11235,"601 BRIGHTON BEACH AVE",08/31/17,08C,"Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.","Not Critical",53,,40.577783,-73.961421,1,rooftop,601,"Brighton Beach Ave",Brooklyn,NY,"Kings County",11235,US,"City of New York"
"EFES CAFE BAKERY",BROOKLYN,601,"BRIGHTON BEACH AVE",11235,"601 BRIGHTON BEACH AVE",08/31/17,02B,"Hot food item not held at or above 140Ã‚Âº F.",Critical,53,,40.577783,-73.961421,1,rooftop,601,"Brighton Beach Ave",Brooklyn,NY,"Kings County",11235,US,"City of New York"
"LA BAGUETTE SHOP",BROOKLYN,1028,"NOSTRAND AVE",11225,"1028 NOSTRAND AVE",11/14/17,10I,"Single service item reused, improperly stored, dispensed; not used when required.","Not Critical",56,,40.663256,-73.951073,1,range_interpolation,1028,"Nostrand Ave",Brooklyn,NY,"Kings County",11225,US,"TIGER/Line® dataset from the US Census Bureau"
"LA BAGUETTE SHOP",BROOKLYN,1028,"NOSTRAND AVE",11225,"1028 NOSTRAND AVE",11/14/17,03A,"Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.",Critical,56,,40.663256,-73.951073,1,range_interpolation,1028,"Nostrand Ave",Brooklyn,NY,"Kings County",11225,US,"TIGER/Line® dataset from the US Census Bureau"
"SEY COFFEE",BROOKLYN,18,"GRATTAN ST",11206,"18 GRATTAN ST",01/10/18,02G,"Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.",Critical,56,,40.705435,-73.932453,1,rooftop,18,"Grattan St",Brooklyn,NY,"Kings County",11206,US,"City of New York"
"SEY COFFEE",BROOKLYN,18,"GRATTAN ST",11206,"18 GRATTAN ST",01/10/18,04E,"Toxic chemical improperly labeled, stored or used such that food contamination may occur.",Critical,56,,40.705435,-73.932453,1,rooftop,18,"Grattan St",Brooklyn,NY,"Kings County",11206,US,"City of New York"
"SEY COFFEE",BROOKLYN,18,"GRATTAN ST",11206,"18 GRATTAN ST",01/10/18,05C,"Food contact surface improperly constructed or located. Unacceptable material used.",Critical,56,,40.705435,-73.932453,1,rooftop,18,"Grattan St",Brooklyn,NY,"Kings County",11206,US,"City of New York"
"LA BAGUETTE SHOP",BROOKLYN,1028,"NOSTRAND AVE",11225,"1028 NOSTRAND AVE",11/14/17,04L,"Evidence of mice or live mice present in facility's food and/or non-food areas.",Critical,56,,40.663256,-73.951073,1,range_interpolation,1028,"Nostrand Ave",Brooklyn,NY,"Kings County",11225,US,"TIGER/Line® dataset from the US Census Bureau"
"SEY COFFEE",BROOKLYN,18,"GRATTAN ST",11206,"18 GRATTAN ST",01/10/18,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,56,,40.705435,-73.932453,1,rooftop,18,"Grattan St",Brooklyn,NY,"Kings County",11206,US,"City of New York"
"LA BAGUETTE SHOP",BROOKLYN,1028,"NOSTRAND AVE",11225,"1028 NOSTRAND AVE",11/14/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,56,,40.663256,-73.951073,1,range_interpolation,1028,"Nostrand Ave",Brooklyn,NY,"Kings County",11225,US,"TIGER/Line® dataset from the US Census Bureau"
"LA BAGUETTE SHOP",BROOKLYN,1028,"NOSTRAND AVE",11225,"1028 NOSTRAND AVE",11/14/17,02G,"Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.",Critical,56,,40.663256,-73.951073,1,range_interpolation,1028,"Nostrand Ave",Brooklyn,NY,"Kings County",11225,US,"TIGER/Line® dataset from the US Census Bureau"
"SEY COFFEE",BROOKLYN,18,"GRATTAN ST",11206,"18 GRATTAN ST",01/10/18,10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",56,,40.705435,-73.932453,1,rooftop,18,"Grattan St",Brooklyn,NY,"Kings County",11206,US,"City of New York"
"LA BAGUETTE SHOP",BROOKLYN,1028,"NOSTRAND AVE",11225,"1028 NOSTRAND AVE",11/14/17,04K,"Evidence of rats or live rats present in facility's food and/or non-food areas.",Critical,56,,40.663256,-73.951073,1,range_interpolation,1028,"Nostrand Ave",Brooklyn,NY,"Kings County",11225,US,"TIGER/Line® dataset from the US Census Bureau"
"LA BAGUETTE SHOP",BROOKLYN,1028,"NOSTRAND AVE",11225,"1028 NOSTRAND AVE",11/14/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",56,,40.663256,-73.951073,1,range_interpolation,1028,"Nostrand Ave",Brooklyn,NY,"Kings County",11225,US,"TIGER/Line® dataset from the US Census Bureau"
"GIVING COFFEE",BROOKLYN,210,"41ST ST",11232,"210 41ST ST",03/13/17,10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",58,,40.653819,-74.011446,1,rooftop,210,"41st St",Brooklyn,NY,"Kings County",11232,US,"City of New York"
"LOUD BABY",BROOKLYN,696,"FLATBUSH AVE",11225,"696 FLATBUSH AVE",07/11/17,10J,"''Wash hands sign not posted at hand wash facility.","Not Critical",58,,40.656408,-73.960222,1,rooftop,696,"Flatbush Ave",Brooklyn,NY,"Kings County",11226,US,"City of New York"
"LOUD BABY",BROOKLYN,696,"FLATBUSH AVE",11225,"696 FLATBUSH AVE",07/11/17,05D,"Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.",Critical,58,,40.656408,-73.960222,1,rooftop,696,"Flatbush Ave",Brooklyn,NY,"Kings County",11226,US,"City of New York"
"GIVING COFFEE",BROOKLYN,210,"41ST ST",11232,"210 41ST ST",03/13/17,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Critical,58,,40.653819,-74.011446,1,rooftop,210,"41st St",Brooklyn,NY,"Kings County",11232,US,"City of New York"
"LOUD BABY",BROOKLYN,696,"FLATBUSH AVE",11225,"696 FLATBUSH AVE",07/11/17,05F,"Insufficient or no refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures.",Critical,58,,40.656408,-73.960222,1,rooftop,696,"Flatbush Ave",Brooklyn,NY,"Kings County",11226,US,"City of New York"
"GIVING COFFEE",BROOKLYN,210,"41ST ST",11232,"210 41ST ST",03/13/17,05E,"Toilet facility not provided for employees or for patrons when required.",Critical,58,,40.653819,-74.011446,1,rooftop,210,"41st St",Brooklyn,NY,"Kings County",11232,US,"City of New York"
"COZY COFFEE",BROOKLYN,925B,"MARCY AVE",11216,"925B MARCY AVE",12/19/17,04O,"Live animals other than fish in tank or service animal present in facility's food and/or non-food areas.",Critical,59,,40.681153,-73.946238,1,rooftop,925,"Marcy Ave",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"SEVEN POINT ESPRESSO",BROOKLYN,637,"WASHINGTON AVE",11238,"637 WASHINGTON AVE",10/31/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,59,,40.678337,-73.963697,1,rooftop,637,"Washington Ave",Brooklyn,NY,"Kings County",11238,US,"City of New York"
"COZY COFFEE",BROOKLYN,925B,"MARCY AVE",11216,"925B MARCY AVE",12/19/17,04A,"Food Protection Certificate not held by supervisor of food operations.",Critical,59,,40.681153,-73.946238,1,rooftop,925,"Marcy Ave",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"COZY COFFEE",BROOKLYN,925B,"MARCY AVE",11216,"925B MARCY AVE",12/19/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,59,,40.681153,-73.946238,1,rooftop,925,"Marcy Ave",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"GOOSE BARNACLE",BROOKLYN,91,"ATLANTIC AVE",11201,"91 ATLANTIC AVE",10/11/17,10H,"Proper sanitization not provided for utensil ware washing operation.","Not Critical",59,,40.691195,-73.997236,1,rooftop,91,"Atlantic Ave",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"GOOSE BARNACLE",BROOKLYN,91,"ATLANTIC AVE",11201,"91 ATLANTIC AVE",10/11/17,05D,"Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.",Critical,59,,40.691195,-73.997236,1,rooftop,91,"Atlantic Ave",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"SEVEN POINT ESPRESSO",BROOKLYN,637,"WASHINGTON AVE",11238,"637 WASHINGTON AVE",10/31/17,02G,"Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.",Critical,59,,40.678337,-73.963697,1,rooftop,637,"Washington Ave",Brooklyn,NY,"Kings County",11238,US,"City of New York"
"COZY COFFEE",BROOKLYN,925B,"MARCY AVE",11216,"925B MARCY AVE",12/19/17,05C,"Food contact surface improperly constructed or located. Unacceptable material used.",Critical,59,,40.681153,-73.946238,1,rooftop,925,"Marcy Ave",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"COZY COFFEE",BROOKLYN,925B,"MARCY AVE",11216,"925B MARCY AVE",12/19/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,59,,40.681153,-73.946238,1,rooftop,925,"Marcy Ave",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"GOOSE BARNACLE",BROOKLYN,91,"ATLANTIC AVE",11201,"91 ATLANTIC AVE",10/11/17,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Critical,59,,40.691195,-73.997236,1,rooftop,91,"Atlantic Ave",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"SEVEN POINT ESPRESSO",BROOKLYN,637,"WASHINGTON AVE",11238,"637 WASHINGTON AVE",10/31/17,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,59,,40.678337,-73.963697,1,rooftop,637,"Washington Ave",Brooklyn,NY,"Kings County",11238,US,"City of New York"
"SEVEN POINT ESPRESSO",BROOKLYN,637,"WASHINGTON AVE",11238,"637 WASHINGTON AVE",10/31/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",59,,40.678337,-73.963697,1,rooftop,637,"Washington Ave",Brooklyn,NY,"Kings County",11238,US,"City of New York"
"SEVEN POINT ESPRESSO",BROOKLYN,637,"WASHINGTON AVE",11238,"637 WASHINGTON AVE",10/31/17,08C,"Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.","Not Critical",59,,40.678337,-73.963697,1,rooftop,637,"Washington Ave",Brooklyn,NY,"Kings County",11238,US,"City of New York"
"SEVEN POINT ESPRESSO",BROOKLYN,637,"WASHINGTON AVE",11238,"637 WASHINGTON AVE",10/31/17,09C,"Food contact surface not properly maintained.","Not Critical",59,,40.678337,-73.963697,1,rooftop,637,"Washington Ave",Brooklyn,NY,"Kings County",11238,US,"City of New York"
"SEVEN POINT ESPRESSO",BROOKLYN,637,"WASHINGTON AVE",11238,"637 WASHINGTON AVE",10/31/17,06F,"Wiping cloths soiled or not stored in sanitizing solution.",Critical,59,,40.678337,-73.963697,1,rooftop,637,"Washington Ave",Brooklyn,NY,"Kings County",11238,US,"City of New York"
"COZY COFFEE",BROOKLYN,925B,"MARCY AVE",11216,"925B MARCY AVE",05/12/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",62,,40.681153,-73.946238,1,rooftop,925,"Marcy Ave",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"COZY COFFEE",BROOKLYN,925B,"MARCY AVE",11216,"925B MARCY AVE",05/12/17,04A,"Food Protection Certificate not held by supervisor of food operations.",Critical,62,,40.681153,-73.946238,1,rooftop,925,"Marcy Ave",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"COZY COFFEE",BROOKLYN,925B,"MARCY AVE",11216,"925B MARCY AVE",05/12/17,04O,"Live animals other than fish in tank or service animal present in facility's food and/or non-food areas.",Critical,62,,40.681153,-73.946238,1,rooftop,925,"Marcy Ave",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"COZY COFFEE",BROOKLYN,925B,"MARCY AVE",11216,"925B MARCY AVE",05/12/17,04K,"Evidence of rats or live rats present in facility's food and/or non-food areas.",Critical,62,,40.681153,-73.946238,1,rooftop,925,"Marcy Ave",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"COZY COFFEE",BROOKLYN,925B,"MARCY AVE",11216,"925B MARCY AVE",05/12/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,62,,40.681153,-73.946238,1,rooftop,925,"Marcy Ave",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"COZY COFFEE",BROOKLYN,925B,"MARCY AVE",11216,"925B MARCY AVE",05/12/17,05C,"Food contact surface improperly constructed or located. Unacceptable material used.",Critical,62,,40.681153,-73.946238,1,rooftop,925,"Marcy Ave",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"Le Labo Cafe",BROOKLYN,120,"N 6TH ST",11249,"120 N 6TH ST",06/08/17,04E,"Toxic chemical improperly labeled, stored or used such that food contamination may occur.",Critical,64,,40.718078,-73.959796,1,rooftop,120,"N 6th St",Brooklyn,NY,"Kings County",11249,US,"City of New York"
"KINGS BREW",BROOKLYN,2001,"ORIENTAL BLVD",11235,"2001 ORIENTAL BLVD",09/26/17,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Critical,64,,40.577814,-73.935561,1,rooftop,2001,"Oriental Blvd",Brooklyn,NY,"Kings County",11235,US,"City of New York"
"KINGS BREW",BROOKLYN,2001,"ORIENTAL BLVD",11235,"2001 ORIENTAL BLVD",09/26/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",64,,40.577814,-73.935561,1,rooftop,2001,"Oriental Blvd",Brooklyn,NY,"Kings County",11235,US,"City of New York"
"KINGS BREW",BROOKLYN,2001,"ORIENTAL BLVD",11235,"2001 ORIENTAL BLVD",09/26/17,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,64,,40.577814,-73.935561,1,rooftop,2001,"Oriental Blvd",Brooklyn,NY,"Kings County",11235,US,"City of New York"
"KINGS BREW",BROOKLYN,2001,"ORIENTAL BLVD",11235,"2001 ORIENTAL BLVD",09/26/17,10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",64,,40.577814,-73.935561,1,rooftop,2001,"Oriental Blvd",Brooklyn,NY,"Kings County",11235,US,"City of New York"
"Le Labo Cafe",BROOKLYN,120,"N 6TH ST",11249,"120 N 6TH ST",06/08/17,05C,"Food contact surface improperly constructed or located. Unacceptable material used.",Critical,64,,40.718078,-73.959796,1,rooftop,120,"N 6th St",Brooklyn,NY,"Kings County",11249,US,"City of New York"
"Le Labo Cafe",BROOKLYN,120,"N 6TH ST",11249,"120 N 6TH ST",06/08/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,64,,40.718078,-73.959796,1,rooftop,120,"N 6th St",Brooklyn,NY,"Kings County",11249,US,"City of New York"
"TOKU TEA",BROOKLYN,84,"HAVEMEYER ST",11211,"84 HAVEMEYER ST",08/01/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,67,,40.714054,-73.956174,1,range_interpolation,84,"Havemeyer St",Brooklyn,NY,"Kings County",11211,US,"TIGER/Line® dataset from the US Census Bureau"
